date,journey_id,journey_name,node_name,entrants,completions,dropoffs,conversion_rate
2025-09-07,J142,Owner Portal Update,Email Dispatch,1627,1008,619,0.6195451751690227
2025-09-07,J142,Owner Portal Update,Landing Page,1008,554,454,0.5496031746031746
2025-09-07,J142,Owner Portal Update,Confirm Action,554,232,322,0.4187725631768953
2025-09-07,J156,Policy Confirmation,Email Dispatch,1437,890,547,0.6193458594293667
2025-09-07,J156,Policy Confirmation,Landing Page,890,489,401,0.549438202247191
2025-09-07,J156,Policy Confirmation,Confirm Action,489,205,284,0.41922290388548056
2025-09-07,J171,Quarterly Roundup,Email Dispatch,836,518,318,0.6196172248803827
2025-09-07,J171,Quarterly Roundup,Landing Page,518,284,234,0.5482625482625483
2025-09-07,J171,Quarterly Roundup,Confirm Action,284,119,165,0.41901408450704225
2025-09-08,J142,Owner Portal Update,Email Dispatch,1554,963,591,0.6196911196911197
2025-09-08,J142,Owner Portal Update,Landing Page,963,529,434,0.54932502596054
2025-09-08,J142,Owner Portal Update,Confirm Action,529,222,307,0.41965973534971646
2025-09-08,J156,Policy Confirmation,Email Dispatch,1576,977,599,0.6199238578680203
2025-09-08,J156,Policy Confirmation,Landing Page,977,537,440,0.5496417604912999
2025-09-08,J156,Policy Confirmation,Confirm Action,537,225,312,0.41899441340782123
2025-09-08,J171,Quarterly Roundup,Email Dispatch,944,585,359,0.6197033898305084
2025-09-08,J171,Quarterly Roundup,Landing Page,585,321,264,0.5487179487179488
2025-09-08,J171,Quarterly Roundup,Confirm Action,321,134,187,0.4174454828660436
2025-09-09,J142,Owner Portal Update,Email Dispatch,1331,825,506,0.6198347107438017
2025-09-09,J142,Owner Portal Update,Landing Page,825,453,372,0.5490909090909091
2025-09-09,J142,Owner Portal Update,Confirm Action,453,190,263,0.4194260485651214
2025-09-09,J156,Policy Confirmation,Email Dispatch,1553,962,591,0.6194462330972311
2025-09-09,J156,Policy Confirmation,Landing Page,962,529,433,0.5498960498960499
2025-09-09,J156,Policy Confirmation,Confirm Action,529,222,307,0.41965973534971646
2025-09-09,J171,Quarterly Roundup,Email Dispatch,796,493,303,0.6193467336683417
2025-09-09,J171,Quarterly Roundup,Landing Page,493,271,222,0.5496957403651116
2025-09-09,J171,Quarterly Roundup,Confirm Action,271,113,158,0.41697416974169743
2025-09-10,J142,Owner Portal Update,Email Dispatch,1523,944,579,0.6198292843072882
2025-09-10,J142,Owner Portal Update,Landing Page,944,519,425,0.5497881355932204
2025-09-10,J142,Owner Portal Update,Confirm Action,519,217,302,0.41811175337186895
2025-09-10,J156,Policy Confirmation,Email Dispatch,1357,841,516,0.6197494473102432
2025-09-10,J156,Policy Confirmation,Landing Page,841,462,379,0.549346016646849
2025-09-10,J156,Policy Confirmation,Confirm Action,462,194,268,0.4199134199134199
2025-09-10,J171,Quarterly Roundup,Email Dispatch,944,585,359,0.6197033898305084
2025-09-10,J171,Quarterly Roundup,Landing Page,585,321,264,0.5487179487179488
2025-09-10,J171,Quarterly Roundup,Confirm Action,321,134,187,0.4174454828660436
2025-09-11,J142,Owner Portal Update,Email Dispatch,1419,879,540,0.6194503171247357
2025-09-11,J142,Owner Portal Update,Landing Page,879,483,396,0.5494880546075085
2025-09-11,J142,Owner Portal Update,Confirm Action,483,202,281,0.41821946169772256
2025-09-11,J156,Policy Confirmation,Email Dispatch,1371,850,521,0.6199854121079504
2025-09-11,J156,Policy Confirmation,Landing Page,850,467,383,0.5494117647058824
2025-09-11,J156,Policy Confirmation,Confirm Action,467,196,271,0.4197002141327623
2025-09-11,J171,Quarterly Roundup,Email Dispatch,971,602,369,0.619979402677652
2025-09-11,J171,Quarterly Roundup,Landing Page,602,331,271,0.5498338870431894
2025-09-11,J171,Quarterly Roundup,Confirm Action,331,139,192,0.4199395770392749
2025-09-12,J142,Owner Portal Update,Email Dispatch,1524,944,580,0.6194225721784777
2025-09-12,J142,Owner Portal Update,Landing Page,944,519,425,0.5497881355932204
2025-09-12,J142,Owner Portal Update,Confirm Action,519,217,302,0.41811175337186895
2025-09-12,J156,Policy Confirmation,Email Dispatch,1438,891,547,0.6196105702364395
2025-09-12,J156,Policy Confirmation,Landing Page,891,490,401,0.5499438832772167
2025-09-12,J156,Policy Confirmation,Confirm Action,490,205,285,0.41836734693877553
2025-09-12,J171,Quarterly Roundup,Email Dispatch,1045,647,398,0.6191387559808612
2025-09-12,J171,Quarterly Roundup,Landing Page,647,355,292,0.5486862442040186
2025-09-12,J171,Quarterly Roundup,Confirm Action,355,149,206,0.4197183098591549
2025-09-13,J142,Owner Portal Update,Email Dispatch,1455,902,553,0.6199312714776632
2025-09-13,J142,Owner Portal Update,Landing Page,902,496,406,0.549889135254989
2025-09-13,J142,Owner Portal Update,Confirm Action,496,208,288,0.41935483870967744
2025-09-13,J156,Policy Confirmation,Email Dispatch,1503,931,572,0.6194278110445776
2025-09-13,J156,Policy Confirmation,Landing Page,931,512,419,0.5499462943071965
2025-09-13,J156,Policy Confirmation,Confirm Action,512,215,297,0.419921875
2025-09-13,J171,Quarterly Roundup,Email Dispatch,926,574,352,0.6198704103671706
2025-09-13,J171,Quarterly Roundup,Landing Page,574,315,259,0.5487804878048781
2025-09-13,J171,Quarterly Roundup,Confirm Action,315,132,183,0.41904761904761906
2025-09-14,J142,Owner Portal Update,Email Dispatch,1438,891,547,0.6196105702364395
2025-09-14,J142,Owner Portal Update,Landing Page,891,490,401,0.5499438832772167
2025-09-14,J142,Owner Portal Update,Confirm Action,490,205,285,0.41836734693877553
2025-09-14,J156,Policy Confirmation,Email Dispatch,1547,959,588,0.6199095022624435
2025-09-14,J156,Policy Confirmation,Landing Page,959,527,432,0.5495307612095933
2025-09-14,J156,Policy Confirmation,Confirm Action,527,221,306,0.41935483870967744
2025-09-14,J171,Quarterly Roundup,Email Dispatch,846,524,322,0.6193853427895981
2025-09-14,J171,Quarterly Roundup,Landing Page,524,288,236,0.549618320610687
2025-09-14,J171,Quarterly Roundup,Confirm Action,288,120,168,0.4166666666666667
2025-09-15,J142,Owner Portal Update,Email Dispatch,1458,903,555,0.6193415637860082
2025-09-15,J142,Owner Portal Update,Landing Page,903,496,407,0.5492801771871539
2025-09-15,J142,Owner Portal Update,Confirm Action,496,208,288,0.41935483870967744
2025-09-15,J156,Policy Confirmation,Email Dispatch,1636,1014,622,0.6198044009779952
2025-09-15,J156,Policy Confirmation,Landing Page,1014,557,457,0.5493096646942801
2025-09-15,J156,Policy Confirmation,Confirm Action,557,233,324,0.41831238779174146
2025-09-15,J171,Quarterly Roundup,Email Dispatch,795,492,303,0.6188679245283019
2025-09-15,J171,Quarterly Roundup,Landing Page,492,270,222,0.5487804878048781
2025-09-15,J171,Quarterly Roundup,Confirm Action,270,113,157,0.4185185185185185
2025-09-16,J142,Owner Portal Update,Email Dispatch,1258,779,479,0.6192368839427663
2025-09-16,J142,Owner Portal Update,Landing Page,779,428,351,0.5494223363286265
2025-09-16,J142,Owner Portal Update,Confirm Action,428,179,249,0.4182242990654206
2025-09-16,J156,Policy Confirmation,Email Dispatch,1661,1029,632,0.6195063214930765
2025-09-16,J156,Policy Confirmation,Landing Page,1029,565,464,0.5490767735665695
2025-09-16,J156,Policy Confirmation,Confirm Action,565,237,328,0.4194690265486726
2025-09-16,J171,Quarterly Roundup,Email Dispatch,1154,715,439,0.6195840554592721
2025-09-16,J171,Quarterly Roundup,Landing Page,715,393,322,0.5496503496503496
2025-09-16,J171,Quarterly Roundup,Confirm Action,393,165,228,0.4198473282442748
2025-09-17,J142,Owner Portal Update,Email Dispatch,1459,904,555,0.6196024674434544
2025-09-17,J142,Owner Portal Update,Landing Page,904,497,407,0.5497787610619469
2025-09-17,J142,Owner Portal Update,Confirm Action,497,208,289,0.41851106639839036
2025-09-17,J156,Policy Confirmation,Email Dispatch,1306,809,497,0.6194486983154671
2025-09-17,J156,Policy Confirmation,Landing Page,809,444,365,0.5488257107540173
2025-09-17,J156,Policy Confirmation,Confirm Action,444,186,258,0.4189189189189189
2025-09-17,J171,Quarterly Roundup,Email Dispatch,868,538,330,0.619815668202765
2025-09-17,J171,Quarterly Roundup,Landing Page,538,295,243,0.5483271375464684
2025-09-17,J171,Quarterly Roundup,Confirm Action,295,123,172,0.41694915254237286
2025-09-18,J142,Owner Portal Update,Email Dispatch,1471,912,559,0.619986403806934
2025-09-18,J142,Owner Portal Update,Landing Page,912,501,411,0.5493421052631579
2025-09-18,J142,Owner Portal Update,Confirm Action,501,210,291,0.41916167664670656
2025-09-18,J156,Policy Confirmation,Email Dispatch,1481,918,563,0.6198514517218096
2025-09-18,J156,Policy Confirmation,Landing Page,918,504,414,0.5490196078431373
2025-09-18,J156,Policy Confirmation,Confirm Action,504,211,293,0.41865079365079366
2025-09-18,J171,Quarterly Roundup,Email Dispatch,788,488,300,0.6192893401015228
2025-09-18,J171,Quarterly Roundup,Landing Page,488,268,220,0.5491803278688525
2025-09-18,J171,Quarterly Roundup,Confirm Action,268,112,156,0.417910447761194
2025-09-19,J142,Owner Portal Update,Email Dispatch,1557,965,592,0.619781631342325
2025-09-19,J142,Owner Portal Update,Landing Page,965,530,435,0.5492227979274611
2025-09-19,J142,Owner Portal Update,Confirm Action,530,222,308,0.4188679245283019
2025-09-19,J156,Policy Confirmation,Email Dispatch,1552,962,590,0.6198453608247423
2025-09-19,J156,Policy Confirmation,Landing Page,962,529,433,0.5498960498960499
2025-09-19,J156,Policy Confirmation,Confirm Action,529,222,307,0.41965973534971646
2025-09-19,J171,Quarterly Roundup,Email Dispatch,750,465,285,0.62
2025-09-19,J171,Quarterly Roundup,Landing Page,465,255,210,0.5483870967741935
2025-09-19,J171,Quarterly Roundup,Confirm Action,255,107,148,0.4196078431372549
2025-09-20,J142,Owner Portal Update,Email Dispatch,1569,972,597,0.6195028680688337
2025-09-20,J142,Owner Portal Update,Landing Page,972,534,438,0.5493827160493827
2025-09-20,J142,Owner Portal Update,Confirm Action,534,224,310,0.41947565543071164
2025-09-20,J156,Policy Confirmation,Email Dispatch,1705,1057,648,0.6199413489736071
2025-09-20,J156,Policy Confirmation,Landing Page,1057,581,476,0.5496688741721855
2025-09-20,J156,Policy Confirmation,Confirm Action,581,244,337,0.4199655765920826
2025-09-20,J171,Quarterly Roundup,Email Dispatch,917,568,349,0.6194111232279171
2025-09-20,J171,Quarterly Roundup,Landing Page,568,312,256,0.5492957746478874
2025-09-20,J171,Quarterly Roundup,Confirm Action,312,131,181,0.4198717948717949
2025-09-21,J142,Owner Portal Update,Email Dispatch,1466,908,558,0.6193724420190996
2025-09-21,J142,Owner Portal Update,Landing Page,908,499,409,0.5495594713656388
2025-09-21,J142,Owner Portal Update,Confirm Action,499,209,290,0.4188376753507014
2025-09-21,J156,Policy Confirmation,Email Dispatch,1485,736,749,0.49562289562289563
2025-09-21,J156,Policy Confirmation,Landing Page,736,323,413,0.4388586956521739
2025-09-21,J156,Policy Confirmation,Confirm Action,323,108,215,0.33436532507739936
2025-09-21,J171,Quarterly Roundup,Email Dispatch,961,595,366,0.619146722164412
2025-09-21,J171,Quarterly Roundup,Landing Page,595,327,268,0.5495798319327732
2025-09-21,J171,Quarterly Roundup,Confirm Action,327,137,190,0.41896024464831805
2025-09-22,J142,Owner Portal Update,Email Dispatch,1326,822,504,0.6199095022624435
2025-09-22,J142,Owner Portal Update,Landing Page,822,452,370,0.5498783454987834
2025-09-22,J142,Owner Portal Update,Confirm Action,452,189,263,0.41814159292035397
2025-09-22,J156,Policy Confirmation,Email Dispatch,1516,751,765,0.4953825857519789
2025-09-22,J156,Policy Confirmation,Landing Page,751,330,421,0.4394141145139814
2025-09-22,J156,Policy Confirmation,Confirm Action,330,110,220,0.3333333333333333
2025-09-22,J171,Quarterly Roundup,Email Dispatch,860,533,327,0.6197674418604651
2025-09-22,J171,Quarterly Roundup,Landing Page,533,293,240,0.549718574108818
2025-09-22,J171,Quarterly Roundup,Confirm Action,293,123,170,0.4197952218430034
2025-09-23,J142,Owner Portal Update,Email Dispatch,1684,1044,640,0.6199524940617577
2025-09-23,J142,Owner Portal Update,Landing Page,1044,574,470,0.5498084291187739
2025-09-23,J142,Owner Portal Update,Confirm Action,574,241,333,0.41986062717770034
2025-09-23,J156,Policy Confirmation,Email Dispatch,1482,735,747,0.4959514170040486
2025-09-23,J156,Policy Confirmation,Landing Page,735,323,412,0.43945578231292515
2025-09-23,J156,Policy Confirmation,Confirm Action,323,108,215,0.33436532507739936
2025-09-23,J171,Quarterly Roundup,Email Dispatch,1066,660,406,0.6191369606003753
2025-09-23,J171,Quarterly Roundup,Landing Page,660,363,297,0.55
2025-09-23,J171,Quarterly Roundup,Confirm Action,363,152,211,0.418732782369146
2025-09-24,J142,Owner Portal Update,Email Dispatch,1389,861,528,0.6198704103671706
2025-09-24,J142,Owner Portal Update,Landing Page,861,473,388,0.5493612078977933
2025-09-24,J142,Owner Portal Update,Confirm Action,473,198,275,0.4186046511627907
2025-09-24,J156,Policy Confirmation,Email Dispatch,1558,772,786,0.49550706033376124
2025-09-24,J156,Policy Confirmation,Landing Page,772,339,433,0.43911917098445596
2025-09-24,J156,Policy Confirmation,Confirm Action,339,113,226,0.3333333333333333
2025-09-24,J171,Quarterly Roundup,Email Dispatch,931,577,354,0.6197636949516648
2025-09-24,J171,Quarterly Roundup,Landing Page,577,317,260,0.5493934142114385
2025-09-24,J171,Quarterly Roundup,Confirm Action,317,133,184,0.4195583596214511
2025-09-25,J142,Owner Portal Update,Email Dispatch,1413,876,537,0.6199575371549894
2025-09-25,J142,Owner Portal Update,Landing Page,876,481,395,0.5490867579908676
2025-09-25,J142,Owner Portal Update,Confirm Action,481,202,279,0.41995841995842
2025-09-25,J156,Policy Confirmation,Email Dispatch,1517,752,765,0.4957152274225445
2025-09-25,J156,Policy Confirmation,Landing Page,752,330,422,0.43882978723404253
2025-09-25,J156,Policy Confirmation,Confirm Action,330,110,220,0.3333333333333333
2025-09-25,J171,Quarterly Roundup,Email Dispatch,1021,633,388,0.6199804113614104
2025-09-25,J171,Quarterly Roundup,Landing Page,633,348,285,0.5497630331753555
2025-09-25,J171,Quarterly Roundup,Confirm Action,348,146,202,0.41954022988505746
2025-09-26,J142,Owner Portal Update,Email Dispatch,1467,909,558,0.6196319018404908
2025-09-26,J142,Owner Portal Update,Landing Page,909,499,410,0.5489548954895489
2025-09-26,J142,Owner Portal Update,Confirm Action,499,209,290,0.4188376753507014
2025-09-26,J156,Policy Confirmation,Email Dispatch,1330,659,671,0.49548872180451126
2025-09-26,J156,Policy Confirmation,Landing Page,659,289,370,0.4385432473444613
2025-09-26,J156,Policy Confirmation,Confirm Action,289,97,192,0.3356401384083045
2025-09-26,J171,Quarterly Roundup,Email Dispatch,898,556,342,0.6191536748329621
2025-09-26,J171,Quarterly Roundup,Landing Page,556,305,251,0.5485611510791367
2025-09-26,J171,Quarterly Roundup,Confirm Action,305,128,177,0.419672131147541
2025-09-27,J142,Owner Portal Update,Email Dispatch,1409,873,536,0.6195883605393896
2025-09-27,J142,Owner Portal Update,Landing Page,873,480,393,0.5498281786941581
2025-09-27,J142,Owner Portal Update,Confirm Action,480,201,279,0.41875
2025-09-27,J156,Policy Confirmation,Email Dispatch,1465,726,739,0.4955631399317406
2025-09-27,J156,Policy Confirmation,Landing Page,726,319,407,0.4393939393939394
2025-09-27,J156,Policy Confirmation,Confirm Action,319,107,212,0.335423197492163
2025-09-27,J171,Quarterly Roundup,Email Dispatch,891,552,339,0.6195286195286195
2025-09-27,J171,Quarterly Roundup,Landing Page,552,303,249,0.5489130434782609
2025-09-27,J171,Quarterly Roundup,Confirm Action,303,127,176,0.41914191419141916
2025-09-28,J142,Owner Portal Update,Email Dispatch,1329,823,506,0.6192626034612491
2025-09-28,J142,Owner Portal Update,Landing Page,823,452,371,0.5492102065613609
2025-09-28,J142,Owner Portal Update,Confirm Action,452,189,263,0.41814159292035397
2025-09-28,J156,Policy Confirmation,Email Dispatch,1338,663,675,0.49551569506726456
2025-09-28,J156,Policy Confirmation,Landing Page,663,291,372,0.43891402714932126
2025-09-28,J156,Policy Confirmation,Confirm Action,291,97,194,0.3333333333333333
2025-09-28,J171,Quarterly Roundup,Email Dispatch,948,587,361,0.619198312236287
2025-09-28,J171,Quarterly Roundup,Landing Page,587,322,265,0.5485519591141397
2025-09-28,J171,Quarterly Roundup,Confirm Action,322,135,187,0.4192546583850932
